ItemName,GLAccount,GLAccountName,CostCenter,CustomerName
Offshore Crew Transfer Solutions,36629,Interest Income,CC101,General Electric
Offshore Crew Transfer Solutions,32307,Service Revenue,CC105,General Electric
Offshore Crew Transfer Solutions,35015,Sales Revenue,CC106,Pattern Energy
Offshore Crew Transfer Solutions,32307,Service Revenue,CC102,Acciona Energia
Blade Cleaning Equipment,36629,Interest Income,CC100,E.ON
Blade Cleaning Equipment,35015,Sales Revenue,CC103,Enel Green Power
Wind Farm Operations Management,36629,Interest Income,CC107,NextEra Energy
Wind Farm Operations Management,32307,Service Revenue,CC106,General Electric
SCADA System Upgrades,32307,Service Revenue,CC103,Pattern Energy
SCADA System Upgrades,32307,Service Revenue,CC106,Ørsted
SCADA System Upgrades,32307,Service Revenue,CC106,Nordex SE
SCADA System Upgrades,35015,Sales Revenue,CC108,Ørsted
SCADA System Upgrades,36629,Interest Income,CC105,Pattern Energy
SCADA System Upgrades,32307,Service Revenue,CC101,E.ON
